batter_id,batter,pitches_in_zone,swings_in_zone,whiffs_in_zone,pitches_out_zone,swings_out_zone,whiffs_out_zone,pitches,swings,whiffs,swing_rate,whiff_rate,sw_str_rate,z_rate,z_swing_rate,z_whiff_rate,o_rate,o_swing_rate,o_whiff_rate
501303,Ehire Adrianza,36,18,3,55,18,1,91,36,4,0.3956043956043956,0.1111111111111111,0.04395604395604396,0.3956043956043956,0.5,0.16666666666666666,0.6043956043956044,0.32727272727272727,0.05555555555555555
501659,Abraham Almonte,60,29,7,92,18,7,152,47,14,0.3092105263157895,0.2978723404255319,0.09210526315789473,0.39473684210526316,0.48333333333333334,0.2413793103448276,0.6052631578947368,0.1956521739130435,0.3888888888888889
543510,James McCann,27,15,0,11,0,0,38,15,0,0.39473684210526316,0.0,0.0,0.7105263157894737,0.5555555555555556,0.0,0.2894736842105263,0.0,
553882,Omar Narvaez,10,7,0,16,2,2,26,9,2,0.34615384615384615,0.2222222222222222,0.07692307692307693,0.38461538461538464,0.7,0.0,0.6153846153846154,0.125,1.0
602104,Ramon Urias,21,10,3,29,7,1,50,17,4,0.34,0.23529411764705882,0.08,0.42,0.47619047619047616,0.3,0.58,0.2413793103448276,0.14285714285714285
605244,Aramis Garcia,14,9,4,21,9,4,35,18,8,0.5142857142857142,0.4444444444444444,0.22857142857142856,0.4,0.6428571428571429,0.4444444444444444,0.6,0.42857142857142855,0.4444444444444444
608385,Jesse Winker,27,16,0,31,6,3,58,22,3,0.3793103448275862,0.13636363636363635,0.05172413793103448,0.46551724137931033,0.5925925925925926,0.0,0.5344827586206896,0.1935483870967742,0.5
621532,Anthony Bemboom,16,7,1,11,3,1,27,10,2,0.37037037037037035,0.2,0.07407407407407407,0.5925925925925926,0.4375,0.14285714285714285,0.4074074074074074,0.2727272727272727,0.3333333333333333
622268,Donovan Walton,94,61,18,90,30,8,184,91,26,0.4945652173913043,0.2857142857142857,0.14130434782608695,0.5108695652173914,0.648936170212766,0.29508196721311475,0.4891304347826087,0.3333333333333333,0.26666666666666666
625510,Erick Mejia,71,41,8,71,9,2,142,50,10,0.352112676056338,0.2,0.07042253521126761,0.5,0.5774647887323944,0.1951219512195122,0.5,0.1267605633802817,0.2222222222222222
641487,J.P. Crawford,2,1,0,15,4,1,17,5,1,0.29411764705882354,0.2,0.058823529411764705,0.11764705882352941,0.5,0.0,0.8823529411764706,0.26666666666666666,0.25
641552,Karl Ellison,80,53,16,108,41,21,188,94,37,0.5,0.39361702127659576,0.19680851063829788,0.425531914893617,0.6625,0.3018867924528302,0.574468085106383,0.37962962962962965,0.5121951219512195
641645,Luis Guillorme,6,4,3,7,1,1,13,5,4,0.38461538461538464,0.8,0.3076923076923077,0.46153846153846156,0.6666666666666666,0.75,0.5384615384615384,0.14285714285714285,1.0
641938,Arden Pabst,40,23,4,63,24,10,103,47,14,0.4563106796116505,0.2978723404255319,0.13592233009708737,0.3883495145631068,0.575,0.17391304347826086,0.6116504854368932,0.38095238095238093,0.4166666666666667
642715,Willy Adames,14,7,1,28,9,3,42,16,4,0.38095238095238093,0.25,0.09523809523809523,0.3333333333333333,0.5,0.14285714285714285,0.6666666666666666,0.32142857142857145,0.3333333333333333
647228,Adam Hall,43,28,9,51,11,3,94,39,12,0.4148936170212766,0.3076923076923077,0.1276595744680851,0.4574468085106383,0.6511627906976745,0.32142857142857145,0.5425531914893617,0.21568627450980393,0.2727272727272727
656248,Sean Bouchard,23,14,3,47,11,3,70,25,6,0.35714285714285715,0.24,0.08571428571428572,0.32857142857142857,0.6086956521739131,0.21428571428571427,0.6714285714285714,0.23404255319148937,0.2727272727272727
656537,Derek Hill,19,9,1,27,7,1,46,16,2,0.34782608695652173,0.125,0.043478260869565216,0.41304347826086957,0.47368421052631576,0.1111111111111111,0.5869565217391305,0.25925925925925924,0.14285714285714285
657023,Tim Susnara,97,63,31,109,34,11,206,97,42,0.470873786407767,0.4329896907216495,0.20388349514563106,0.470873786407767,0.6494845360824743,0.49206349206349204,0.529126213592233,0.3119266055045872,0.3235294117647059
659359,Zac Fascia,74,53,16,122,51,21,196,104,37,0.5306122448979592,0.3557692307692308,0.18877551020408162,0.37755102040816324,0.7162162162162162,0.3018867924528302,0.6224489795918368,0.4180327868852459,0.4117647058823529
659435,Max Wright,258,161,44,270,69,31,528,230,75,0.4356060606060606,0.32608695652173914,0.14204545454545456,0.48863636363636365,0.624031007751938,0.2732919254658385,0.5113636363636364,0.25555555555555554,0.4492753623188406
660631,Kevin Vicuna,34,26,4,15,1,1,49,27,5,0.5510204081632653,0.18518518518518517,0.10204081632653061,0.6938775510204082,0.7647058823529411,0.15384615384615385,0.30612244897959184,0.06666666666666667,1.0
661541,Donovan Casey,19,16,0,20,6,2,39,22,2,0.5641025641025641,0.09090909090909091,0.05128205128205128,0.48717948717948717,0.8421052631578947,0.0,0.5128205128205128,0.3,0.3333333333333333
663516,Dillon Paulson,461,258,37,374,96,34,835,354,71,0.4239520958083832,0.20056497175141244,0.08502994011976048,0.5520958083832336,0.559652928416486,0.1434108527131783,0.4479041916167665,0.25668449197860965,0.3541666666666667
663519,Kekai Rios,180,135,25,289,96,39,469,231,64,0.4925373134328358,0.27705627705627706,0.13646055437100213,0.3837953091684435,0.75,0.18518518518518517,0.6162046908315565,0.33217993079584773,0.40625
663600,D.J. Artis,67,25,9,44,10,1,111,35,10,0.3153153153153153,0.2857142857142857,0.09009009009009009,0.6036036036036037,0.373134328358209,0.36,0.3963963963963964,0.22727272727272727,0.1
663682,Mike Salvatore,313,199,42,482,146,38,795,345,80,0.4339622641509434,0.2318840579710145,0.10062893081761007,0.3937106918238994,0.6357827476038339,0.21105527638190955,0.6062893081761006,0.3029045643153527,0.2602739726027397
663714,Matt Kroon,28,14,5,22,4,1,50,18,6,0.36,0.3333333333333333,0.12,0.56,0.5,0.35714285714285715,0.44,0.18181818181818182,0.25
663744,Nick Shumpert,204,133,49,295,101,50,499,234,99,0.46893787575150303,0.4230769230769231,0.19839679358717435,0.4088176352705411,0.6519607843137255,0.3684210526315789,0.591182364729459,0.3423728813559322,0.49504950495049505
663898,Brendan Rodgers,25,19,4,35,5,5,60,24,9,0.4,0.375,0.15,0.4166666666666667,0.76,0.21052631578947367,0.5833333333333334,0.14285714285714285,1.0
664238,Dylan Moore,19,12,0,38,7,3,57,19,3,0.3333333333333333,0.15789473684210525,0.05263157894736842,0.3333333333333333,0.631578947368421,0.0,0.6666666666666666,0.18421052631578946,0.42857142857142855
664762,Andy Atwood,184,133,25,241,106,37,425,239,62,0.5623529411764706,0.2594142259414226,0.14588235294117646,0.4329411764705882,0.7228260869565217,0.18796992481203006,0.5670588235294117,0.43983402489626555,0.3490566037735849
665506,Cristian Pache,12,7,2,34,15,5,46,22,7,0.4782608695652174,0.3181818181818182,0.15217391304347827,0.2608695652173913,0.5833333333333334,0.2857142857142857,0.7391304347826086,0.4411764705882353,0.3333333333333333
665561,Rafael Marchan,29,14,1,21,7,1,50,21,2,0.42,0.09523809523809523,0.04,0.58,0.4827586206896552,0.07142857142857142,0.42,0.3333333333333333,0.14285714285714285
665650,Lucius Fox,70,37,12,101,47,11,171,84,23,0.49122807017543857,0.27380952380952384,0.13450292397660818,0.4093567251461988,0.5285714285714286,0.32432432432432434,0.5906432748538012,0.46534653465346537,0.23404255319148937
665888,Cristopher Navarro,46,32,4,55,15,8,101,47,12,0.46534653465346537,0.2553191489361702,0.1188118811881188,0.45544554455445546,0.6956521739130435,0.125,0.5445544554455446,0.2727272727272727,0.5333333333333333
665908,Eduardo Torrealba,231,138,26,297,80,27,528,218,53,0.4128787878787879,0.24311926605504589,0.10037878787878787,0.4375,0.5974025974025974,0.18840579710144928,0.5625,0.26936026936026936,0.3375
665989,Shervyen Newton,788,481,149,660,210,94,1448,691,243,0.47720994475138123,0.3516642547033285,0.16781767955801105,0.5441988950276243,0.6104060913705583,0.3097713097713098,0.4558011049723757,0.3181818181818182,0.44761904761904764
666194,Cooper Johnson,200,119,30,409,146,55,609,265,85,0.4351395730706076,0.32075471698113206,0.13957307060755336,0.3284072249589491,0.595,0.25210084033613445,0.6715927750410509,0.3569682151589242,0.3767123287671233
666198,Carter Kieboom,27,17,4,46,15,3,73,32,7,0.4383561643835616,0.21875,0.0958904109589041,0.3698630136986301,0.6296296296296297,0.23529411764705882,0.6301369863013698,0.32608695652173914,0.2
666695,Jonathan Guzman,129,84,19,234,79,32,363,163,51,0.4490358126721763,0.3128834355828221,0.14049586776859505,0.35537190082644626,0.6511627906976745,0.2261904761904762,0.6446280991735537,0.33760683760683763,0.4050632911392405
666906,Jake Alu,33,23,5,30,5,2,63,28,7,0.4444444444444444,0.25,0.1111111111111111,0.5238095238095238,0.696969696969697,0.21739130434782608,0.47619047619047616,0.16666666666666666,0.4
667240,Jason Matthews,167,91,19,258,70,27,425,161,46,0.3788235294117647,0.2857142857142857,0.10823529411764705,0.39294117647058824,0.5449101796407185,0.2087912087912088,0.6070588235294118,0.2713178294573643,0.38571428571428573
667727,Steele Walker,164,126,21,113,16,6,277,142,27,0.5126353790613718,0.19014084507042253,0.09747292418772563,0.592057761732852,0.7682926829268293,0.16666666666666666,0.40794223826714804,0.1415929203539823,0.375
667803,Ernesto Martinez,416,280,69,588,201,67,1004,481,136,0.47908366533864544,0.28274428274428276,0.13545816733067728,0.41434262948207173,0.6730769230769231,0.24642857142857144,0.5856573705179283,0.34183673469387754,0.3333333333333333
668558,Juan Zabala,277,204,51,348,95,31,625,299,82,0.4784,0.27424749163879597,0.1312,0.4432,0.7364620938628159,0.25,0.5568,0.27298850574712646,0.3263157894736842
